id	tweet	level 1	level2	level3	source
717385393268789248	"Vedo che c'è molta disinformazione sul referendum del 17 maggio.
[@MisterDonnie13]"	VRAI	IMPLICIT	IM:FALSE ASSERTION	Spinoza
717333997106372609	"Leo Messi: ""Firmo quello che mi dice papà"". Pure la Boschi.
[notturnoconcertante]"	VRAI	EXPLICIT	ANALOGY	Spinoza
717003679858077696	"I pm di Potenza incontrano Maria Elena Boschi. L’inchiesta era partita con questo obiettivo.

[CONTINUA su https://t.co/oDPUtx2DvV]"	VRAI	IMPLICIT	IM:FALSE ASSERTION	Spinoza
715823437302919168	"È morto l'autore di ""E se domani"". E sottolineo morto.
[pietro angelio]"	VRAI	EXPLICIT	OTHER	Spinoza
715637553920098309	"In fondo il ministro Guidi ha solo dirottato una legge per amore.
[@pirata_21]"	VRAI	IMPLICIT	EUPHEMISM	Spinoza
715484033136795648	Scusate, sapete chi ha ucciso Regeni oggi?	VRAI	IMPLICIT	RHETORICAL QUESTION	Spinoza
714821082637795332	"Dirotta un aereo per la ex moglie. ""Ti avevo detto un elicottero!""
[@giggidelirio]"	VRAI	EXPLICIT	EX:OXIMORON PARADOX	Spinoza
713322754645364737	"Caso Regeni, l'Egitto risponde ai dubbi: ""Se non vi piacciono questi colpevoli, possiamo sempre cambiarli"".
[@misterdonnie13]"	VRAI	EXPLICIT	EX:OXIMORON PARADOX	Spinoza
712963402705072128	"Se negli aeroporti italiani mettessero bombe nelle valigie, esploderebbe la casa dell'addetto ai bagagli.
[tamagone]"	VRAI	IMPLICIT	OTHER	Spinoza
712585348434366464	"Salvini: ""Ero all'aeroporto, la polizia mi ha fermato"". L'ordine era di bloccare i fanatici che vogliono distruggere l'Europa.
[@gmbugs]"	VRAI	IMPLICIT	ANALOGY	Spinoza
711486511481495552	"Roma, tifoso dello Sparta Praga urina su una mendicante. Bel tentativo, ma uno straniero non può diventare sindaco. 
[@milingopapa]"	VRAI	IMPLICIT	IM:FALSE ASSERTION	Spinoza
711130736867328000	"Arrestato Salah: era rimasto nascosto per mesi in un appartamento. Poi ha messo su un disco di Fedez.
[@Rego_tweet]"	VRAI	IMPLICIT	IM:FALSE ASSERTION	Spinoza
710893036448956417	"Francesca Pascale: ""La Meloni è una fascista moderna"". Farà jogging su Roma.
[@gmbugs]"	VRAI	IMPLICIT	ANALOGY	Spinoza
